,rank_2020,company,sales_2020,profits_2020,assets_2020,market_value_2020
32,#32,PetroChina,$364.1 B,$6.6 B,$392.3 B,$65.9 B
33,#34,Johnson & Johnson,$82.8 B,$17.2 B,$155 B,$395.3 B
34,#35,RBC,$50.9 B,$10 B,"$1,116.3 B",$87.7 B
35,#36,Walt Disney,$74.8 B,$10.4 B,$200.9 B,$195.3 B
36,#37,China Life Insurance,$103.7 B,$8.5 B,$536.2 B,$60.3 B
37,#38,Intel,$75.7 B,$22.7 B,$147.7 B,$254 B
38,#39,Facebook,$73.4 B,$21 B,$138.4 B,$583.7 B
39,#40,CVS Health,$256.8 B,$6.6 B,$224.3 B,$80.4 B
40,#41,Nestlé,$93.1 B,$12.7 B,$132.1 B,$304.1 B
41,#42,BNP Paribas,$128 B,$8.7 B,"$2,429.9 B",$39.2 B
42,#43,Nippon Telegraph & Tel,$109.6 B,$7.9 B,$211.1 B,$83 B
43,#44,HSBC Holdings,$67.2 B,$3.8 B,"$2,917.8 B",$105.3 B
44,#45,Bank of Communications,$66.6 B,$11.2 B,"$1,422.1 B",$47.1 B
45,#46,TD Bank Group,$44.8 B,$9.3 B,"$1,102 B",$75.8 B
46,#47,Goldman Sachs Group,$53.9 B,$7.4 B,"$1,090 B",$63.4 B
47,#48,Morgan Stanley,$53 B,$8.3 B,$896.8 B,$62.1 B
48,#49,Pfizer,$50.7 B,$15.8 B,$167.5 B,$212.8 B
49,#50,Tencent Holdings,$54.6 B,$13.5 B,$137 B,$509.7 B
50,#51,IBM,$76.5 B,$9 B,$153.4 B,$111.5 B
51,#52,Mitsubishi UFJ Financial,$60.1 B,$5.4 B,"$2,893 B",$51.8 B
52,#53,General Electric,$99.9 B,$6.3 B,$262 B,$59.5 B
53,#53,Rosneft,$126.9 B,$10.9 B,$208.5 B,$48.1 B
54,#55,Santander,$89.2 B,$7.3 B,"$1,709.2 B",$37.1 B
55,#56,Anheuser-Busch InBev,$52.3 B,$9.1 B,$238.3 B,$89.9 B
56,#57,Industrial Bank,$50.2 B,$9.2 B,"$1,045 B",$49 B
57,#58,Reliance Industries,$84.8 B,$6.2 B,$147.2 B,$123.8 B
58,#58,Sony,$79.2 B,$6 B,$208.3 B,$78.7 B
59,#60,Sinopec,$369.2 B,$3.3 B,$254.8 B,$76.6 B
60,#61,Chevron,$140.1 B,$2.9 B,$237.4 B,$171.8 B
61,#62,Siemens,$97.4 B,$5.9 B,$171 B,$75.4 B
62,#63,Cigna,$154.5 B,$4.9 B,$157 B,$72.8 B
63,#64,AXA Group,$150 B,$4 B,$850.8 B,$42.3 B
64,#65,Shanghai Pudong Development,$50 B,$8.6 B,"$1,029.3 B",$44.2 B
65,#66,AIA Group,$40.9 B,$6.6 B,$280.3 B,$111.8 B
66,#66,Softbank,$87.4 B,$2.9 B,$362.6 B,$89.7 B
67,#68,Novartis,$48.6 B,$12.2 B,$123.1 B,$193 B
68,#69,Deutsche Telekom,$90.1 B,$4.3 B,$207.1 B,$69.2 B
69,#70,Petrobras,$78.9 B,$10.2 B,$230.2 B,$43.5 B
70,#71,Procter & Gamble,$70.3 B,$5 B,$118.6 B,$291.8 B
71,#72,Japan Post Holdings,$112.3 B,$4.7 B,"$2,680.2 B",$32.7 B
72,#73,LVMH Moët Hennessy Louis Vuitton,$60.1 B,$8 B,$108.3 B,$194.3 B
73,#74,Roche Holding,$61.9 B,$13.6 B,$85.8 B,$297.4 B
74,#75,BMW Group,$116.6 B,$5.5 B,$271.3 B,$38.9 B
75,#76,Zurich Insurance Group,$71.8 B,$4.1 B,$381.9 B,$47.4 B
76,#77,CITIC,$72.3 B,$6.9 B,"$1,063.9 B",$30.3 B
77,#78,Itaú Unibanco Holding,$52 B,$6.9 B,$408.8 B,$41 B
78,#79,China State Construction Engineering,$203 B,$6.1 B,$292.3 B,$30.7 B
79,#80,MetLife,$69 B,$5.9 B,$746.3 B,$32.8 B
80,#81,Sumitomo Mitsui Financial,$48.4 B,$6.4 B,"$1,954.8 B",$36.4 B
81,#82,Cisco Systems,$51.6 B,$11.1 B,$90.4 B,$179.7 B
82,#83,Honda Motor,$142.4 B,$4.3 B,$188.5 B,$42.6 B
83,#84,Commonwealth Bank,$27.3 B,$7 B,$688.8 B,$72.6 B
84,#85,Bank of Nova Scotia,$34.8 B,$6.4 B,$872.6 B,$48.7 B
85,#86,Raytheon Technologies,$77.1 B,$5.5 B,$139.7 B,$56.1 B
86,#87,PepsiCo,$68.2 B,$7.2 B,$85.1 B,$183.6 B
87,#88,American Express,$46.8 B,$5.5 B,$186.1 B,$73.5 B
88,#89,General Motors,$137.2 B,$6.7 B,$228 B,$31.9 B
89,#90,China Minsheng Bank,$48.5 B,$7.8 B,$959.2 B,$32.8 B
90,#91,British American Tobacco,$33 B,$7.3 B,$186.8 B,$88.8 B
91,#92,Merck & Co.,$47.9 B,$10.1 B,$84.4 B,$200.3 B
92,#93,BHP Group,$45.8 B,$9.4 B,$102.3 B,$107.1 B
93,#94,Oracle,$39.8 B,$10.8 B,$96.7 B,$167 B
94,#95,Brookfield Asset Management,$69.1 B,$2.8 B,$324 B,$51.3 B
95,#96,Coca-Cola,$37.2 B,$10 B,$94 B,$197.1 B
96,#97,Enel,$86.6 B,$2.4 B,$192.4 B,$69.4 B
97,#97,GlaxoSmithKline,$44.7 B,$6.8 B,$104.6 B,$104.4 B
98,#99,LukOil,$116.3 B,$9.9 B,$95.7 B,$41.2 B
99,#100,China Vanke,$53.5 B,$5.6 B,$245.3 B,$37.6 B
100,#101,Banco Bradesco,$62 B,$5.7 B,$337.9 B,$31.3 B
101,#102,Bayer,$49.9 B,$4.8 B,$137.7 B,$64.7 B
102,#103,US Bancorp,$25.9 B,$6.4 B,$542.9 B,$55.5 B
103,#104,Mitsubishi,$140.8 B,$4.8 B,$167 B,$32.4 B
104,#105,Anthem,$109.3 B,$4.8 B,$82.4 B,$70.8 B
105,#106,Home Depot,$110.2 B,$11.2 B,$51.2 B,$236.1 B
106,#107,BASF,$66.5 B,$8.8 B,$101.3 B,$47 B
107,#108,Taiwan Semiconductor,$37.8 B,$13 B,$77.5 B,$265.5 B
108,#109,UBS,$34.2 B,$4.8 B,"$1,098.1 B",$38.4 B
109,#110,Unilever,$58.2 B,$6.3 B,$72.7 B,$130.6 B
110,#111,Country Garden Holdings,$70.1 B,$5.7 B,$273.8 B,$27.8 B
111,#112,EDF,$79.8 B,$5.1 B,$340.4 B,$24.7 B
112,#113,China Citic Bank,$49.3 B,$7.1 B,$991.4 B,$23.9 B
113,#114,Rio Tinto,$43.2 B,$8 B,$87.8 B,$75.5 B
114,#115,Lloyds Banking Group,$64.3 B,$3.1 B,"$1,104.7 B",$28.6 B
115,#116,Prudential Financial,$64.9 B,$4.1 B,$896.6 B,$24.7 B
116,#117,Sanofi,$40.4 B,$3.3 B,$126.5 B,$122.5 B
117,#118,Credit Agricole,$74.3 B,$4.8 B,"$1,984.2 B",$21.9 B
118,#119,AbbVie,$33.3 B,$7.8 B,$89.1 B,$121.4 B
119,#120,Iberdrola,$39.7 B,$4.1 B,$136.6 B,$62.5 B
120,#121,Hon Hai Precision,$172.8 B,$3.7 B,$110.8 B,$35.9 B
121,#122,KDDI,$47.8 B,$5.9 B,$86.5 B,$66.9 B
122,#123,Enbridge,$37.5 B,$4.3 B,$125.9 B,$62.2 B
123,#123,Manulife,$58.3 B,$4.2 B,$592 B,$24.5 B
124,#125,Intesa Sanpaolo,$41.3 B,$4.7 B,$916.1 B,$27.3 B
125,#126,CNOOC,$33.6 B,$8.8 B,$108.8 B,$50.6 B
126,#127,Dell Technologies,$91.9 B,$4.6 B,$118.9 B,$31.6 B
127,#127,Westpac Banking Group,$26 B,$4.8 B,$611.9 B,$38.4 B
128,#129,Medtronic,$31.1 B,$5.3 B,$92.8 B,$130.8 B
129,#130,China Pacific Insurance,$55.8 B,$4 B,$215.7 B,$30 B
130,#131,SAIC Motor,$121.1 B,$3.7 B,$121.9 B,$31.3 B
131,#132,Bank of Montreal,$29.1 B,$4.4 B,$665.2 B,$32.6 B
132,#132,Caterpillar,$51 B,$5.3 B,$75.9 B,$63 B
133,#134,Chubb,$34 B,$3.7 B,$173.1 B,$48.8 B
134,#135,Itochu,$103.1 B,$4.9 B,$104.6 B,$29.6 B
135,#136,Walgreens Boots Alliance,$138.7 B,$3.5 B,$90 B,$38 B
136,#137,VINCI,$54.6 B,$3.6 B,$102.3 B,$45.5 B
137,#138,Bristol-Myers Squibb,$26.1 B,$3.4 B,$129.9 B,$137.6 B
138,#139,PNC Financial Services,$21.5 B,$5 B,$445.5 B,$45.2 B
139,#140,Generali Group,$91.9 B,$3 B,$578.6 B,$22.5 B
140,#141,Visa,$23.5 B,$11.9 B,$74.8 B,$383.9 B
141,#142,Costco Wholesale,$158.4 B,$3.8 B,$48.8 B,$133.8 B
142,#143,United Parcel Service,$74.8 B,$4.3 B,$57.9 B,$81.3 B
143,#144,Duke Energy,$25.1 B,$3.7 B,$163.6 B,$62.1 B
144,#145,Lockheed Martin,$61.1 B,$6.2 B,$49.2 B,$109.1 B
145,#146,HDFC Bank,$20.7 B,$3.8 B,$209 B,$73.1 B
146,#147,Allstate,$44.3 B,$4.8 B,$121.1 B,$32.2 B
147,#148,China Everbright Bank,$35.6 B,$5.5 B,$737.6 B,$22.3 B
148,#149,Charter Communications,$45.8 B,$1.7 B,$150.6 B,$104 B
149,#150,SAP,$31.1 B,$4.7 B,$69.1 B,$142.4 B
150,#151,Tokio Marine Holdings,$48.5 B,$2.6 B,$224.5 B,$33 B
151,#152,CK Hutchison,$38.2 B,$5.1 B,$155.4 B,$28.6 B
152,#153,Honeywell International,$36.7 B,$6.1 B,$58.7 B,$100.4 B
153,#154,China Evergrande Group,$69.4 B,$2.5 B,$316.8 B,$23.5 B
154,#155,American International Group,$50.1 B,$3.3 B,$525.1 B,$21.9 B
155,#156,Orange,$47.3 B,$3.4 B,$123 B,$32.3 B
156,#157,América Móvil,$52.3 B,$3.5 B,$81.1 B,$40.5 B
157,#158,Abbott Laboratories,$32.1 B,$3.5 B,$66.8 B,$162.9 B
158,#159,Bank of New York Mellon,$20.8 B,$4.5 B,$468.2 B,$33.2 B
159,#160,Credit Suisse Group,$32.8 B,$4 B,$860.1 B,$22 B
160,#161,Capital One Financial,$31.1 B,$2.8 B,$396.9 B,$29.5 B
161,#162,Amgen,$23.9 B,$7.7 B,$61.7 B,$140.6 B
162,#163,Truist Financial,$17.2 B,$3.5 B,$506.2 B,$50.3 B
163,#164,ANZ,$23.9 B,$2.9 B,$703.8 B,$31.3 B
164,#165,Equinor,$60.3 B,$1.8 B,$118.1 B,$46.4 B
165,#166,Mitsui,$65.5 B,$3.7 B,$114.3 B,$24.1 B
166,#167,Oversea-Chinese Banking,$24.9 B,$3.6 B,$365.7 B,$28.3 B
167,#168,China Shenhua Energy,$35 B,$6.1 B,$80.8 B,$35.6 B
168,#169,Exelon,$33.8 B,$2.9 B,$125 B,$36.1 B
169,#170,PTT,$71.5 B,$2.9 B,$82.9 B,$31.3 B
170,#171,State Bank of India,$51.1 B,$2 B,$559.9 B,$22.6 B
171,#172,Poly Developments & Holdings Group,$31 B,$4 B,$148.3 B,$27.5 B
172,#173,Lowe's,$72.1 B,$4.3 B,$41 B,$79.1 B
173,#174,China Telecom,$54.4 B,$3 B,$101 B,$27.9 B
174,#175,Southern Company,$20.8 B,$3.5 B,$118.9 B,$60 B
175,#176,L'Oréal,$33.4 B,$4.2 B,$49.2 B,$162.5 B
176,#177,BlackRock,$15.1 B,$4.2 B,$168.6 B,$77.9 B
177,#178,Linde,$28.2 B,$2.3 B,$86.6 B,$96.6 B
178,#179,Canadian Imperial Bank,$21.6 B,$3.9 B,$508.2 B,$26.4 B
179,#180,NextEra Energy,$17.2 B,$3.5 B,$120.6 B,$113.1 B
180,#181,Barclays,$28.8 B,$2.6 B,"$1,790.9 B",$23.1 B
181,#182,Deere & Company,$38.9 B,$3.3 B,$71.8 B,$45.5 B
182,#183,Union Pacific,$21.6 B,$6 B,$62.2 B,$108.4 B
183,#184,Thermo Fisher Scientific,$25.6 B,$3.7 B,$58.7 B,$132.2 B
184,#185,Deutsche Post,$70.9 B,$2.9 B,$61 B,$36.7 B
185,#186,Gilead Sciences,$22.6 B,$5 B,$59.7 B,$105.8 B
186,#186,Phillips 66,$107.4 B,$3.1 B,$58.7 B,$32 B
187,#188,Mondelez International,$26 B,$3.7 B,$63.6 B,$73.4 B
188,#189,Hyundai Motor,$90.5 B,$2.3 B,$163.3 B,$20.1 B
189,#190,Qatar National Bank,$15.9 B,$3.9 B,$264.9 B,$43.7 B
190,#191,NAB - National Australia Bank,$21.4 B,$2.3 B,$567.8 B,$32 B
191,#192,Broadcom,$22.7 B,$2.6 B,$81 B,$108.6 B
192,#192,Legal & General Group,$85.2 B,$2.3 B,$735 B,$15.3 B
193,#194,ING Group,$20.5 B,$5.4 B,"$1,001 B",$21.4 B
194,#195,3M,$32.3 B,$5 B,$46.2 B,$87.4 B
195,#196,Target,$78.1 B,$3.3 B,$42.8 B,$54.9 B
196,#197,Marathon Petroleum,$123.4 B,$2.6 B,$98.6 B,$20.9 B
197,#198,Hitachi,$82.9 B,$1.8 B,$94.6 B,$29.3 B
198,#198,Progressive,$39.1 B,$3.6 B,$56.3 B,$45.2 B
199,#200,DBS,$14.5 B,$4.3 B,$451.6 B,$36 B
200,#201,ConocoPhillips,$29.5 B,$3.6 B,$65 B,$45.3 B
201,#202,UniCredit,$28.8 B,$3.6 B,$960.5 B,$17.2 B
202,#203,Philip Morris International,$30.2 B,$7.6 B,$37.5 B,$116.2 B
203,#204,China Railway Group,$122.9 B,$3.2 B,$151.6 B,$14.8 B
204,#205,Accenture,$44.7 B,$5 B,$33.5 B,$118 B
205,#206,Munich Re,$36.1 B,$1.4 B,$317.2 B,$31.1 B
206,#207,Royal Bank of Scotland,$23.5 B,$4.5 B,$957.8 B,$16.8 B
207,#208,Banco do Brasil,$42 B,$3.8 B,$359.5 B,$14.7 B
208,#209,McDonald's,$20.8 B,$5.8 B,$47.5 B,$139.5 B
209,#210,China Resources Land,$21.6 B,$4.1 B,$109.4 B,$29.3 B
210,#211,China Railway Construction,$116.8 B,$2.8 B,$154.4 B,$14.9 B
211,#212,Saudi Basic Industries,$37.3 B,$1.5 B,$83.4 B,$59.8 B
212,#213,Aviva,$89.5 B,$3.2 B,$593.1 B,$12 B
213,#214,General Dynamics,$38.8 B,$3.4 B,$53.7 B,$37.5 B
214,#215,MS&AD Insurance,$50.6 B,$2.6 B,$220.1 B,$16.7 B
215,#216,PICC,$78.2 B,$3.2 B,$158.5 B,$14.5 B
216,#217,Aflac,$22 B,$2.9 B,$151.6 B,$26.9 B
217,#218,E.ON,$45.9 B,$1.8 B,$118 B,$26.1 B
218,#218,Travelers,$31.8 B,$2.4 B,$109.4 B,$25.6 B
219,#220,Prudential,$94.5 B,$768 M,$440.4 B,$36.9 B
220,#221,Eli Lilly,$23.1 B,$5.5 B,$39.3 B,$148 B
221,#222,Kraft Heinz Company,$25.2 B,$1.9 B,$104.1 B,$37.1 B
222,#223,Sunac China Holdings,$25.3 B,$3.8 B,$137.9 B,$20.7 B
223,#224,Charles Schwab,$11.5 B,$3.5 B,$370.8 B,$48.6 B
224,#225,HCA Healthcare,$51.7 B,$3 B,$45.4 B,$37.2 B
225,#226,Danaher,$19.9 B,$2.6 B,$62.1 B,$113.9 B
226,#227,Schneider Electric,$30.4 B,$2.7 B,$50.5 B,$50.4 B
227,#228,Société Générale,$47.8 B,$2.8 B,"$1,522.5 B",$12.4 B
228,#229,Midea Group,$39.9 B,$3.4 B,$40 B,$52.9 B
229,#230,Dai-ichi Life Insurance,$62.6 B,$1.8 B,$560.8 B,$14.4 B
230,#231,ENGIE,$67.2 B,$1.1 B,$179.4 B,$26.2 B
231,#232,Fiat Chrysler Automobiles,$121.1 B,$3.2 B,$110.1 B,$13.8 B
232,#233,Volvo Group,$43.4 B,$3.1 B,$55.6 B,$26.3 B
233,#234,Seven & I Holdings,$61 B,$2 B,$55.6 B,$29.3 B
234,#235,Humana,$67.7 B,$2.6 B,$34.6 B,$50.5 B
235,#236,Longfor Group Holdings,$21.7 B,$2.6 B,$93.6 B,$29.8 B
236,#237,AstraZeneca,$26.2 B,$1.5 B,$57.2 B,$137.7 B
237,#238,JD.com,$83.4 B,$1.8 B,$37.3 B,$53.6 B
238,#239,Air Liquide,$24.5 B,$2.5 B,$49 B,$60 B
239,#240,Fresenius,$39.6 B,$2.1 B,$75.2 B,$23.8 B
240,#241,Northrop Grumman,$34.3 B,$2.3 B,$43.2 B,$55.1 B
241,#242,Mizuho Financial,$35.9 B,$831 M,"$1,874.9 B",$29.8 B
242,#243,Sun Life Financial,$24.6 B,$2 B,$226.1 B,$20.1 B
243,#244,Inditex,$31.6 B,$4.1 B,$31.5 B,$79.3 B
244,#244,Nike,$41.3 B,$4.3 B,$26.2 B,$135.6 B
245,#246,Gree Electric Appliances,$28.8 B,$3.6 B,$40.3 B,$46.7 B
246,#247,Central Japan Railway,$17 B,$3.7 B,$89 B,$31.2 B
247,#248,Danone,$28.3 B,$2.1 B,$50.9 B,$45 B
248,#249,PayPal,$17.5 B,$2.5 B,$51.3 B,$144.3 B
249,#250,Cathay Financial,$24.2 B,$2 B,$335.5 B,$17.7 B
250,#251,Surgutneftegas,$24.7 B,$6.8 B,$80.8 B,$17.9 B
251,#252,Suncor Energy,$28.9 B,$2.2 B,$69 B,$27.3 B
252,#253,Standard Chartered,$24.7 B,$1.9 B,$720.4 B,$16.2 B
253,#254,Tesco,$82.7 B,$1.2 B,$66.8 B,$29 B
254,#255,ICICI Bank,$20.8 B,$1.3 B,$182.8 B,$32.8 B
255,#256,Panasonic,$70.4 B,$2.6 B,$61.8 B,$18 B
256,#257,Safran,$28.1 B,$2.7 B,$48.1 B,$36.7 B
257,#258,Qualcomm,$24.7 B,$4 B,$31.9 B,$88.5 B
258,#259,Royal Ahold Delhaize N.V.,$74.2 B,$2 B,$46.6 B,$26.4 B
259,#260,KBC Group,$14.9 B,$2.7 B,$326.4 B,$22.5 B
260,#261,East Japan Railway,$27.1 B,$1.8 B,$79.1 B,$27.8 B
261,#262,National Grid,$19 B,$1.9 B,$81.7 B,$41.3 B
262,#263,Delta Air Lines,$45.1 B,$3.5 B,$68.7 B,$16.5 B
263,#264,Peugeot,$83.6 B,$3.6 B,$78.3 B,$12.8 B
264,#265,Telefónica,$54.2 B,$1 B,$133.4 B,$23.4 B
265,#266,Kroger,$122.3 B,$1.7 B,$47.9 B,$25.2 B
266,#267,China Communications Construction,$79.8 B,$2.8 B,$161.1 B,$10.8 B
267,#268,Shinhan Financial Group,$33.9 B,$2.9 B,$477.7 B,$11.7 B
268,#269,Oil & Natural Gas,$60.1 B,$4.4 B,$72.6 B,$13.4 B
269,#270,Sun Hung Kai Properties,$11.2 B,$5.1 B,$103.6 B,$39.8 B
270,#271,Huaxia Bank,$21.3 B,$3.1 B,$440.1 B,$14.3 B
271,#272,Fubon Financial,$33.3 B,$1.9 B,$284.6 B,$14.6 B
272,#273,Diageo,$16.8 B,$3.9 B,$42 B,$81 B
273,#274,Anglo American,$29.9 B,$3.5 B,$56.2 B,$22 B
274,#275,Mastercard,$17 B,$7.9 B,$30.6 B,$276.1 B
275,#276,Dominion Energy,$16.4 B,$1.4 B,$103.8 B,$64.6 B
276,#277,Micron Technology,$19.6 B,$2.3 B,$49.6 B,$53.3 B
277,#278,KB Financial Group,$37.3 B,$2.7 B,$449.9 B,$11.1 B
278,#279,HDFC,$13.2 B,$2.3 B,$98.2 B,$44.2 B
279,#280,LafargeHolcim,$26.9 B,$2.2 B,$60.2 B,$25.5 B
280,#281,United Overseas Bank,$12 B,$3.2 B,$300.8 B,$23.9 B
281,#282,Bank of Beijing,$17.9 B,$3.1 B,$393.1 B,$14.9 B
282,#283,Japan Tobacco,$20 B,$3.2 B,$51.1 B,$33.4 B
283,#284,Netflix,$21.4 B,$2.2 B,$35.1 B,$184.7 B
284,#285,Centene,$82.2 B,$845 M,$66.4 B,$38.6 B
285,#286,China Unicom,$42.1 B,$1.6 B,$82 B,$19.8 B
286,#287,Jardine Matheson,$40.9 B,$2.8 B,$97 B,$13.4 B
287,#288,Starbucks,$26.7 B,$3.4 B,$27.5 B,$89.6 B
288,#289,American Electric,$15.5 B,$1.9 B,$79.1 B,$41.1 B
289,#290,Sumitomo,$49.9 B,$2.7 B,$77.1 B,$14.4 B
290,#291,Nordea Bank,$13 B,$1.7 B,$622.8 B,$26.1 B
291,#292,Orix,$21.3 B,$3 B,$118.2 B,$15.4 B
292,#293,TJX Cos,$41.7 B,$3.3 B,$24.1 B,$59.5 B
293,#294,Mitsubishi Electric,$41.3 B,$2.1 B,$40.9 B,$26.9 B
294,#295,State Street,$12.3 B,$2.4 B,$362.5 B,$22.2 B
295,#296,SK Hynix,$23.2 B,$1.3 B,$55.2 B,$47 B
296,#297,RWE Group,$14.7 B,$9.5 B,$79.4 B,$17.7 B
297,#298,ABB,$28 B,$1.4 B,$46.1 B,$40.5 B
298,#299,Nomura,$19.1 B,$2.3 B,$425.5 B,$13 B
299,#300,BCE,$18.1 B,$2.4 B,$46.4 B,$36.6 B
300,#301,Automatic Data Processing,$14.7 B,$2.5 B,$43.4 B,$63 B
301,#302,HP,$58.4 B,$3 B,$31.7 B,$22.2 B
302,#303,First Abu Dhabi Bank,$8.9 B,$3.1 B,$227.4 B,$34.4 B
303,#304,EssilorLuxottica,$19.5 B,$1.2 B,$59 B,$53.9 B
304,#305,Henkel,$22.5 B,$2.3 B,$35.9 B,$38.5 B
305,#306,Canadian Natural Resources,$17.2 B,$4.1 B,$62.3 B,$19.8 B
306,#307,Greenland Holdings Group,$57.7 B,$2 B,$159.4 B,$9.8 B
307,#308,EMD Group,$18.1 B,$1.5 B,$49.6 B,$50.5 B
308,#309,Swiss Re,$49 B,$734 M,$238.6 B,$20.3 B
309,#310,Bank Of Shanghai,$12.9 B,$2.7 B,$322.3 B,$16.5 B
310,#311,Archer Daniels Midland,$64.4 B,$1.5 B,$44 B,$20.7 B
311,#312,Anhui Conch Cement,$22.7 B,$4.9 B,$25.7 B,$41.7 B
312,#313,Ecopetrol,$22.1 B,$4 B,$41.3 B,$21.9 B
313,#314,BT Group,$29.6 B,$2.8 B,$63.3 B,$14.5 B
314,#315,Poste Italiane,$36.7 B,$1.5 B,$267.4 B,$11 B
315,#316,Novatek,$13.2 B,$13.4 B,$32.5 B,$42.6 B
316,#316,TC Energy,$9.8 B,$3.1 B,$76.6 B,$43.3 B
317,#318,CRH,$28.1 B,$1.9 B,$41.9 B,$23.8 B
318,#319,Macquarie Group,$11.5 B,$2.2 B,$148 B,$22.8 B
319,#320,BBVA-Banco Bilbao Vizcaya,$38.3 B,$617 M,$802 B,$21.8 B
320,#321,JXTG Holdings,$95.5 B,$1.5 B,$81.6 B,$11.5 B
321,#322,Kering,$17.8 B,$2.4 B,$30.5 B,$63 B
322,#323,Baoshan Iron & Steel,$43 B,$2.1 B,$48.3 B,$15.3 B
323,#324,Daiwa House Industry,$40 B,$2.3 B,$42.7 B,$17.1 B
324,#325,Couche Tard,$57.5 B,$2.1 B,$24.8 B,$31.1 B
325,#326,Daimler,$189.2 B,$418 M,$326.6 B,$37 B
326,#327,Bridgestone,$32.3 B,$2.7 B,$36.3 B,$20.7 B
327,#328,Fannie Mae,$122.8 B,$14.2 B,"$3,503.3 B",$2 B
328,#329,Tyson Foods,$43.1 B,$2 B,$33.8 B,$22.3 B
329,#330,New China Life Insurance,$25.2 B,$2.1 B,$125.8 B,$10.8 B
330,#331,Saint-Gobain,$47.7 B,$1.6 B,$56.1 B,$14.4 B
331,#332,CSX,$11.8 B,$3.3 B,$38.8 B,$50.7 B
332,#333,DNB,$9.7 B,$2.8 B,$317.9 B,$19.1 B
333,#333,Novo Nordisk,$18.3 B,$5.8 B,$18.9 B,$146.8 B
334,#335,Saudi Telecom,$14.6 B,$2.9 B,$32.1 B,$48.3 B
335,#336,LyondellBasell Industries,$34.7 B,$3.4 B,$30.4 B,$19.3 B
336,#337,EOG Resources,$17.6 B,$2.7 B,$37.1 B,$27.7 B
337,#338,Sempra Energy,$10.8 B,$2.2 B,$65.7 B,$36.2 B
338,#339,Eaton,$20.9 B,$2.1 B,$30.8 B,$34.4 B
339,#340,Freddie Mac,$79.3 B,$7.2 B,"$2,203.6 B",$1.1 B
340,#341,Heineken,$26.8 B,$1.2 B,$52.2 B,$22.4 B
341,#342,Kweichow Moutai,$11.3 B,$6.2 B,$25.6 B,$225.5 B
342,#343,CK Asset Holdings,$10.9 B,$3.7 B,$65.2 B,$23.3 B
343,#344,Becton Dickinson,$17.4 B,$899 M,$52 B,$68.5 B
344,#345,Stryker,$15 B,$2.2 B,$29.4 B,$69.9 B
345,#346,CRRC,$31.7 B,$1.5 B,$55.9 B,$15.2 B
346,#347,Bank Rakyat Indonesia (BRI),$10.5 B,$2.4 B,$102.1 B,$22.5 B
