,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
36,UCB,Health Care,Pharmaceuticals,Europe,Belgium,15.3,4.5,0.3,13.7,1383,#1102,$5.5 B,$886 M,$12.4 B,$17.3 B
37,Umicore,Materials,Diversified Metals & Mining,Europe,Belgium,5.6,13.0,0.2,4.8,1736,#1271,$19.6 B,$322 M,$8 B,$10.4 B
38,Everest Re Group,Financials,Diversified Insurance,North America,Bermuda,8.6,5.3,1.2,19.8,886,#896,$8 B,$1 B,$27.3 B,$7.9 B
39,Arch Capital Group,Financials,Property & Casualty Insurance,North America,Bermuda,7.7,3.5,0.7,19.6,1149,#759,$6.7 B,$1.6 B,$36.7 B,$9.8 B
40,Petrobras,Energy,Oil & Gas Operations,South America,Brazil,86.8,141.2,10.9,319.2,30,#70,$78.9 B,$10.2 B,$230.2 B,$43.5 B
41,Banco Bradesco,Financials,Regional Banks,South America,Brazil,58.5,74.1,5.6,384.9,63,#101,$62 B,$5.7 B,$337.9 B,$31.3 B
42,Banco do Brasil,Financials,Major Banks,South America,Brazil,28.3,68.6,7.3,552.7,104,#208,$42 B,$3.8 B,$359.5 B,$14.7 B
43,Vale,Materials,Iron & Steel,South America,Brazil,71.4,47.6,0.1,123.7,442,#513,$36.2 B,$179 M,$84.8 B,$42.5 B
44,JBS,Consumer Staples,Food Processing,South America,Brazil,9.6,43.0,0.4,29.1,637,#461,$51.8 B,$1.5 B,$31.4 B,$11.7 B
45,Cemig,Utilities,Electric Utilities,South America,Brazil,8.7,6.8,1.4,12.6,914,#1680,$6.4 B,$774 M,$12.4 B,$2.6 B
46,CPFL Energia,Utilities,Electric Utilities,South America,Brazil,7.8,7.2,0.4,13.2,1166,#1542,$7.6 B,$685 M,$11 B,$6.2 B
47,Braskem,Materials,Specialized Chemicals,South America,Brazil,5.3,19.0,0.2,20.5,1179,#1623,$13.3 B,$-673 M,$16.9 B,$3.1 B
48,WEG,Industrials,Electrical Equipment,South America,Brazil,8.7,3.2,0.4,4.3,1832,#1654,$3.4 B,$425 M,$3.3 B,$15.5 B
49,TD Bank Group,Financials,Major Banks,North America,Canada,86.2,31.3,6.6,815.2,76,#46,$44.8 B,$9.3 B,"$1,102 B",$75.8 B
50,Bank of Nova Scotia,Financials,Major Banks,North America,Canada,71.2,27.7,6.3,702.1,95,#85,$34.8 B,$6.4 B,$872.6 B,$48.7 B
51,Bank of Montreal,Financials,Major Banks,North America,Canada,43.3,20.1,4.0,531.6,146,#132,$29.1 B,$4.4 B,$665.2 B,$32.6 B
52,Suncor Energy,Energy,Oil & Gas Operations,North America,Canada,51.5,38.4,3.8,73.7,149,#252,$28.9 B,$2.2 B,$69 B,$27.3 B
53,Canadian Imperial Bank,Financials,Major Banks,North America,Canada,34.4,16.7,3.6,359.6,182,#179,$21.6 B,$3.9 B,$508.2 B,$26.4 B
54,Brookfield Asset Management,Financials,Real Estate,North America,Canada,25.2,20.8,2.1,112.7,238,#95,$69.1 B,$2.8 B,$324 B,$51.3 B
55,Sun Life Financial,Financials,Life & Health Insurance,North America,Canada,21.1,17.9,1.7,184.4,271,#243,$24.6 B,$2 B,$226.1 B,$20.1 B
56,Canadian Natural Resources,Energy,Oil & Gas Operations,North America,Canada,42.0,15.7,2.2,50.4,278,#306,$17.2 B,$4.1 B,$62.3 B,$19.8 B
57,BCE,Telecommunication Services,Telecommunications services,North America,Canada,33.7,19.8,2.0,42.7,290,#300,$18.1 B,$2.4 B,$46.4 B,$36.6 B
58,Husky Energy,Energy,Oil & Gas Operations,North America,Canada,30.0,22.3,1.8,35.6,315,#1443,$14.6 B,$-2.6 B,$21.8 B,$3.2 B
59,Power Corp of Canada,Financials,Life & Health Insurance,North America,Canada,12.7,31.7,1.0,319.9,333,#377,$31.5 B,$874 M,$352.1 B,$11.5 B
60,Enbridge,Energy,Oil Services & Equipment,North America,Canada,38.5,32.2,0.6,54.2,344,#123,$37.5 B,$4.3 B,$125.9 B,$62.2 B
61,Canadian National Railway,Industrials,Railroads,North America,Canada,46.7,10.3,2.5,28.7,387,#368,$11.2 B,$3.3 B,$32.6 B,$58.8 B
62,Magna International,Consumer Discretionary,Auto & Truck Parts,North America,Canada,21.9,34.8,1.6,18.0,409,#500,$39.4 B,$1.8 B,$25.8 B,$11.7 B
63,Rogers Communications,Telecommunication Services,Telecommunications services,North America,Canada,21.6,12.3,1.6,22.2,479,#549,$11.2 B,$1.5 B,$28.2 B,$21.2 B
64,National Bank of Canada,Financials,Major Banks,North America,Canada,13.3,7.0,1.5,175.2,493,#462,$9 B,$1.7 B,$218.7 B,$13.6 B
65,Cenovus Energy,Energy,Oil & Gas Operations,North America,Canada,21.8,18.1,0.6,24.1,523,#1410,$14.4 B,$216 M,$23.5 B,$4.5 B
66,TELUS,Telecommunication Services,Telecommunications services,North America,Canada,22.3,11.0,1.3,20.3,542,#565,$11 B,$1.3 B,$29.3 B,$20.7 B
67,George Weston,Consumer Staples,Food Retail,North America,Canada,9.5,32.6,0.7,23.2,599,#789,$37.8 B,$182 M,$36.9 B,$10.9 B
68,Teck Resources,Materials,Diversified Metals & Mining,North America,Canada,12.6,9.1,0.9,34.1,604,#1616,$8.4 B,$-453 M,$27.2 B,$4.7 B
69,Couche Tard,Consumer Discretionary,Specialty Stores,North America,Canada,15.3,37.7,0.8,10.4,638,#325,$57.5 B,$2.1 B,$24.8 B,$31.1 B
70,Bombardier,Industrials,Aerospace & Defense,North America,Canada,6.7,18.2,0.6,29.4,740,#1341,$15.8 B,$-1.8 B,$25 B,$860 M
71,Canadian Pacific Railway,Industrials,Railroads,North America,Canada,26.5,6.0,0.8,16.1,750,#742,$6.1 B,$1.8 B,$16.5 B,$30.9 B
72,Barrick Gold,Materials,Diversified Metals & Mining,North America,Canada,20.8,12.6,-10.4,37.4,771,#356,$9.7 B,$4 B,$44.4 B,$45.9 B
73,Onex,Financials,Investment Services,North America,Canada,6.2,29.0,-0.6,36.9,947,#1489,$306 M,$4.3 B,$12.5 B,$4.6 B
74,CGI Group,Information Technology,Computer Services,North America,Canada,9.6,9.9,0.6,11.1,974,#956,$9.8 B,$163 M,$35 B,$15.5 B
75,Canadian Tire,Consumer Discretionary,Specialty Stores,North America,Canada,7.6,11.4,0.5,12.8,988,#1358,$11 B,$587 M,$15.1 B,$4.3 B
76,Intact Financial,Financials,Property & Casualty Insurance,North America,Canada,8.3,7.2,0.4,18.1,1058,#873,$8.7 B,$568 M,$23.7 B,$13.6 B
77,Shaw Communications,Consumer Discretionary,Broadcasting & Cable,North America,Canada,10.9,5.1,0.7,11.9,1072,#1867,$4.1 B,$545 M,$11.6 B,$8.4 B
78,Fairfax Financial,Financials,Property & Casualty Insurance,North America,Canada,9.8,5.8,-0.6,36.0,1136,#503,$20.7 B,$2 B,$70.5 B,$7.5 B
79,Saputo,Consumer Staples,Food Processing,North America,Canada,9.8,8.5,0.5,5.2,1164,#1240,$10.9 B,$466 M,$10.2 B,$10.3 B
80,Empire,Consumer Staples,Food Retail,North America,Canada,5.6,18.6,0.3,11.1,1274,#1487,$19.5 B,$398 M,$10.6 B,$6 B
81,E-L Financial,Financials,Diversified Insurance,North America,Canada,2.6,2.1,0.7,15.0,1510,#1888,$1.2 B,$561 M,$18.3 B,$2 B
82,Pembina Pipeline,Energy,Oil & Gas Operations,North America,Canada,12.1,4.9,0.3,8.6,1533,#883,$5.4 B,$1.1 B,$25.6 B,$12.6 B
83,Fortis (Canada),Utilities,Electric Utilities,North America,Canada,6.1,3.9,0.4,16.9,1582,#653,$6.6 B,$1.3 B,$42.3 B,$18 B
84,Air Canada,Industrials,Airline,North America,Canada,1.4,12.0,0.0,8.9,1882,#932,$14.5 B,$1.1 B,$21.4 B,$3.8 B
85,Falabella,Consumer Discretionary,Department Stores,South America,Chile,21.6,13.2,0.9,18.2,581,#1097,$13.4 B,$420 M,$24.4 B,$6.8 B
86,Cencosud,Consumer Staples,Food Retail,South America,Chile,9.0,20.7,0.5,19.2,777,#1405,$14.7 B,$399 M,$17.3 B,$3.5 B
87,AntarChile,Financials,Investment Services,South America,Chile,6.1,24.4,0.5,22.1,819,#1230,$23.7 B,$108 M,$25.5 B,$3.1 B
88,Latam Airlines,Industrials,Airline,South America,Chile,8.2,12.9,-0.3,22.6,1050,#1635,$10.1 B,$212 M,$21.1 B,$2.3 B
89,BCI-Banco Credito,Financials,Regional Banks,South America,Chile,6.1,3.2,0.6,38.5,1141,#1294,$3.8 B,$572 M,$66.9 B,$5.3 B
90,Quinenco,Industrials,Conglomerates,South America,Chile,3.5,8.6,0.3,56.7,1162,#1333,$8.2 B,$278 M,$63.4 B,$2.4 B
91,ICBC,Financials,Major Banks,Asia,China,215.6,148.7,42.7,3124.9,1,#1,$177.2 B,$45.3 B,"$4,322.5 B",$242.3 B
92,China Construction Bank,Financials,Regional Banks,Asia,China,174.4,121.3,34.2,2449.5,2,#2,$162.1 B,$38.9 B,"$3,822 B",$203.8 B
93,Agricultural Bank of China,Financials,Regional Banks,Asia,China,141.1,136.4,27.0,2405.4,3,#5,$148.7 B,$30.9 B,"$3,697.5 B",$147.2 B
94,Bank of China,Financials,Major Banks,Asia,China,124.2,105.1,25.5,2291.8,9,#10,$135.4 B,$27.2 B,"$3,387 B",$112.8 B
95,PetroChina,Energy,Oil & Gas Operations,Asia,China,202.0,328.5,21.1,386.9,10,#32,$364.1 B,$6.6 B,$392.3 B,$65.9 B
96,Ping An Insurance Group,Financials,Diversified Insurance,Asia,China,66.1,59.0,4.6,552.8,62,#7,$155 B,$18.8 B,"$1,218.6 B",$187.2 B
97,Bank of Communications,Financials,Major Banks,Asia,China,48.7,46.6,10.1,942.2,65,#45,$66.6 B,$11.2 B,"$1,422.1 B",$47.1 B
98,China Life Insurance,Financials,Life & Health Insurance,Asia,China,79.8,68.4,4.0,327.2,66,#37,$103.7 B,$8.5 B,$536.2 B,$60.3 B
99,China Merchants Bank,Financials,Major Banks,Asia,China,45.2,32.2,8.1,634.7,102,#26,$58.4 B,$13.7 B,"$1,094.9 B",$120.9 B
100,China Shenhua Energy,Materials,Diversified Metals & Mining,Asia,China,57.6,42.8,7.2,80.4,124,#168,$35 B,$6.1 B,$80.8 B,$35.6 B
101,Industrial Bank,Financials,Regional Banks,Asia,China,28.8,32.7,6.7,593.5,129,#57,$50.2 B,$9.2 B,"$1,045 B",$49 B
102,Shanghai Pudong Development,Financials,Regional Banks,Asia,China,29.2,31.7,6.7,607.9,130,#65,$50 B,$8.6 B,"$1,029.3 B",$44.2 B
103,China Citic Bank,Financials,Regional Banks,Asia,China,32.5,27.8,5.7,555.6,134,#113,$49.3 B,$7.1 B,$991.4 B,$23.9 B
104,China Telecom,Telecommunication Services,Telecommunications services,Asia,China,37.4,52.3,2.9,89.7,150,#174,$54.4 B,$3 B,$101 B,$27.9 B
105,SAIC Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,24.7,88.3,4.0,56.4,175,#131,$121.1 B,$3.7 B,$121.9 B,$31.3 B
106,China Everbright Bank,Financials,Regional Banks,Asia,China,18.6,21.2,4.2,404.2,206,#148,$35.6 B,$5.5 B,$737.6 B,$22.3 B
107,China Pacific Insurance,Financials,Life & Health Insurance,Asia,China,23.2,33.2,1.6,118.6,227,#130,$55.8 B,$4 B,$215.7 B,$30 B
108,China Vanke,Financials,Real Estate,Asia,China,14.9,22.0,2.5,79.2,305,#100,$53.5 B,$5.6 B,$245.3 B,$37.6 B
109,China Communications Construction,Industrials,Construction Services,Asia,China,11.2,52.8,2.0,85.6,306,#267,$79.8 B,$2.8 B,$161.1 B,$10.8 B
110,China Railway Construction,Industrials,Construction Services,Asia,China,10.5,89.9,1.7,87.5,311,#211,$116.8 B,$2.8 B,$154.4 B,$14.9 B
111,Huaxia Bank,Financials,Regional Banks,Asia,China,12.0,12.9,2.4,253.5,365,#271,$21.3 B,$3.1 B,$440.1 B,$14.3 B
112,Huaneng Power International,Utilities,Electric Utilities,Asia,China,12.1,21.8,1.7,43.1,401,#961,$24.9 B,$29 M,$61.5 B,$5.9 B
113,Tencent Holdings,Information Technology,Computer Services,Asia,China,135.4,9.8,2.5,17.7,426,#50,$54.6 B,$13.5 B,$137 B,$509.7 B
114,Bank of Beijing,Financials,Regional Banks,Asia,China,10.8,9.8,2.1,197.2,429,#282,$17.9 B,$3.1 B,$393.1 B,$14.9 B
115,New China Life Insurance,Financials,Life & Health Insurance,Asia,China,10.2,18.7,0.7,88.6,474,#330,$25.2 B,$2.1 B,$125.8 B,$10.8 B
116,Gree Electric Appliances,Consumer Discretionary,Household Appliances,Asia,China,13.7,17.9,1.6,21.2,501,#246,$28.8 B,$3.6 B,$40.3 B,$46.7 B
117,Baoshan Iron & Steel,Materials,Iron & Steel,Asia,China,10.4,30.8,0.7,37.4,512,#323,$43 B,$2.1 B,$48.3 B,$15.3 B
118,Anhui Conch Cement,Materials,Construction Materials,Asia,China,22.8,9.0,1.5,15.4,603,#312,$22.7 B,$4.9 B,$25.7 B,$41.7 B
119,Daqin Railway,Industrials,Railroads,Asia,China,16.0,7.9,2.0,16.4,641,#637,$10.9 B,$1.8 B,$21 B,$15.1 B
120,China National Building,Materials,Construction Materials,Asia,China,5.4,19.2,0.9,48.2,650,#400,$36.6 B,$1.6 B,$64.1 B,$10.6 B
121,China Cinda Asset Management,,,Asia,China,20.1,4.0,1.2,46.2,685,#537,$11.1 B,$1.9 B,$217.2 B,$7.4 B
122,GD Power Development,Utilities,Electric Utilities,Asia,China,6.6,10.8,1.0,40.4,698,#1083,$16.6 B,$270 M,$52.4 B,$5.5 B
123,China Coal Energy,Materials,Diversified Metals & Mining,Asia,China,7.3,13.2,0.7,35.5,701,#788,$18.7 B,$903 M,$39.1 B,$3.5 B
124,Baidu,Information Technology,Computer Services,Asia,China,55.8,5.2,1.7,11.7,723,#705,$15.5 B,$297 M,$43.3 B,$27.6 B
125,Citic Securities,Financials,Investment Services,Asia,China,19.0,2.7,0.9,44.8,732,#509,$6 B,$1.8 B,$113.7 B,$23.4 B
126,Dongfeng Motor Group,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,12.4,6.1,1.5,19.2,739,#695,$14.6 B,$1.9 B,$39 B,$5.7 B
127,Fosun International,Materials,Iron & Steel,Asia,China,8.2,8.3,0.9,30.2,751,#371,$20.7 B,$2.1 B,$102.7 B,$10.8 B
128,Metallurgical Corp of China,Industrials,Construction Services,Asia,China,5.0,32.1,0.5,53.3,759,#620,$49.8 B,$964 M,$67.6 B,$3.6 B
129,China Yangtze Power,Utilities,Electric Utilities,Asia,China,15.3,3.8,1.5,25.4,794,#433,$7.5 B,$3.4 B,$41.8 B,$54.4 B
130,China Shipbuilding Industry,Industrials,Heavy Equipment,Asia,China,13.2,7.9,0.4,28.6,822,#1323,$5.5 B,$73 M,$26.2 B,$13.5 B
131,Great Wall Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,15.4,8.9,1.3,8.7,839,#1396,$11.9 B,$441 M,$14.8 B,$6.1 B
132,Datang International Power,Utilities,Electric Utilities,Asia,China,4.9,12.1,0.6,49.2,862,#1224,$13.6 B,$60 M,$40.5 B,$2.7 B
133,Kweichow Moutai,Consumer Staples,Beverages,Asia,China,27.2,4.6,2.5,9.2,875,#342,$11.3 B,$6.2 B,$25.6 B,$225.5 B
134,Jiangxi Copper,Materials,Diversified Metals & Mining,Asia,China,5.8,28.5,0.6,14.7,891,#1218,$34.6 B,$354 M,$19.4 B,$3.4 B
135,Sinopharm Group,Health Care,Pharmaceuticals,Asia,China,7.1,27.1,0.4,17.4,903,#556,$61.5 B,$904 M,$38.7 B,$8.4 B
136,Zhejiang Zheneng Electric Power,Utilities,Electric Utilities,Asia,China,9.2,7.5,0.7,15.2,917,#1467,$7.1 B,$543 M,$15.5 B,$6.7 B
137,Shanghai International Port,Industrials,Other Transportation,Asia,China,17.4,4.6,0.9,14.6,928,#925,$5.2 B,$1.3 B,$20.4 B,$13.7 B
138,Huadian Power International,Utilities,Electric Utilities,Asia,China,3.6,10.8,0.7,28.5,935,#1167,$13.1 B,$412 M,$33.3 B,$3.4 B
139,Shanghai Electric Group,Industrials,Heavy Equipment,Asia,China,7.3,12.8,0.4,21.4,938,#1059,$15.1 B,$447 M,$37.1 B,$4.7 B
140,Aluminum Corp of China,Materials,Aluminum,Asia,China,6.6,28.1,0.2,33.0,940,#1168,$27.5 B,$93 M,$29.2 B,$3.6 B
141,Haitong Securities,Financials,Investment Services,Asia,China,14.4,2.1,0.7,22.2,945,#638,$7 B,$1.4 B,$91.4 B,$10.5 B
142,Weichai Power,Industrials,Heavy Equipment,Asia,China,7.7,9.4,0.6,13.0,1003,#502,$24.1 B,$1.2 B,$33.1 B,$13.9 B
143,Shaanxi Coal Industry,Materials,Diversified Metals & Mining,Asia,China,6.7,7.0,1.0,13.1,1016,#805,$9.2 B,$1.6 B,$17.4 B,$10.4 B
144,Chongqing Rural Bank,Financials,Regional Banks,Asia,China,4.1,4.3,1.0,81.1,1021,#815,$7 B,$1.4 B,$147.9 B,$5 B
145,Guangzhou R&F,Financials,Real Estate,Asia,China,4.6,5.9,1.2,23.2,1028,#720,$13.1 B,$1.4 B,$61.3 B,$4.4 B
146,Tingyi Holding,Consumer Staples,Food Processing,Asia,China,16.2,10.9,0.4,8.4,1039,#1323,$9 B,$482 M,$8.3 B,$10 B
147,China Eastern Airlines,Industrials,Airline,Asia,China,4.8,14.3,0.4,22.8,1069,#865,$17.5 B,$464 M,$40.4 B,$6.8 B
148,China Southern Airlines,Industrials,Airline,Asia,China,3.7,15.9,0.3,27.3,1093,#909,$22.3 B,$384 M,$44.1 B,$6.4 B
149,Bank of Ningbo,Financials,Regional Banks,Asia,China,4.1,3.9,0.8,73.9,1098,#391,$8.6 B,$2.1 B,$202.9 B,$20.8 B
150,Bank of Nanjing,Financials,Regional Banks,Asia,China,3.7,3.3,0.7,69.6,1116,#517,$8.7 B,$1.7 B,$209 B,$10.9 B
151,BYD,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,17.2,8.4,0.1,12.9,1133,#832,$17.6 B,$237 M,$28.2 B,$17.2 B
152,Inner Mongolia Yili,Consumer Staples,Food Processing,Asia,China,12.1,7.3,0.5,5.2,1176,#792,$12.5 B,$833 M,$9.9 B,$24.5 B
153,Zoomlion Heavy Industry,Industrials,Heavy Equipment,Asia,China,6.1,6.2,0.6,14.8,1176,#1629,$6.3 B,$637 M,$13.2 B,$6.1 B
154,Want Want China,Consumer Staples,Food Processing,Asia,China,20.3,3.8,0.7,4.3,1200,#1809,$3 B,$543 M,$4.1 B,$8.9 B
155,Wuliangye Yibin,Consumer Staples,Beverages,Asia,China,10.5,3.8,1.5,7.2,1222,#768,$5.2 B,$2 B,$14.9 B,$74.7 B
156,Xiamen C&D,Industrials,Trading Companies,Asia,China,2.4,16.2,0.4,11.6,1243,#686,$50.1 B,$819 M,$47.1 B,$3.4 B
157,Harbin Bank,Financials,Regional Banks,Asia,China,1.1,2.6,0.5,53.2,1249,#1311,$4.8 B,$518 M,$83.7 B,$1.9 B
158,Gemdale,Financials,Real Estate,Asia,China,5.0,6.3,0.5,19.2,1267,#696,$8.4 B,$1.5 B,$48.1 B,$8.6 B
159,Greentown China Holdings,Financials,Real Estate,Asia,China,2.5,4.7,0.8,20.2,1271,#1353,$9 B,$178 M,$48.4 B,$2.3 B
160,GF Securities,Financials,Investment Services,Asia,China,9.5,1.2,0.4,17.5,1286,#919,$4 B,$1.1 B,$56.6 B,$8.3 B
161,BBMG,Materials,Construction Materials,Asia,China,4.7,7.0,0.5,16.3,1291,#1048,$12.5 B,$498 M,$40 B,$2.7 B
162,China National Chemical,Industrials,Construction Services,Asia,China,4.9,9.7,0.6,11.0,1313,#1416,$14.3 B,$426 M,$15.9 B,$4.3 B
163,China International Marine,Industrials,Heavy Equipment,Asia,China,6.2,9.3,0.4,12.0,1349,#1484,$11.8 B,$71 M,$24.8 B,$3.2 B
164,Shanghai Construction,Industrials,Construction Services,Asia,China,2.8,16.2,0.3,15.8,1360,#1042,$28.3 B,$393 M,$32.8 B,$4.1 B
165,Jiangsu Yanghe Brewery,Consumer Staples,Beverages,Asia,China,9.0,2.6,0.9,4.4,1382,#1135,$2.7 B,$1.1 B,$7.3 B,$21 B
166,Zijin Mining Group,Materials,Diversified Metals & Mining,Asia,China,4.6,8.1,0.5,11.1,1389,#778,$20.3 B,$638 M,$19.7 B,$10.5 B
167,Sany Heavy Industry,Industrials,Heavy Equipment,Asia,China,6.9,5.8,0.5,11.1,1396,#703,$10.9 B,$1.6 B,$13 B,$23.3 B
168,Shanghai Pharmaceuticals,Consumer Staples,Drug Retail,Asia,China,5.8,12.1,0.4,9.0,1446,#1009,$27 B,$592 M,$19.7 B,$5 B
169,SDIC Power Holdings,Energy,Oil & Gas Operations,Asia,China,5.0,4.2,0.5,25.6,1458,#1098,$5.6 B,$744 M,$31.1 B,$7.4 B
170,Shenzhen Overseas,Consumer Discretionary,Hotels & Motels,Asia,China,5.5,3.7,0.7,14.5,1459,#760,$6.6 B,$1.7 B,$56.9 B,$7.6 B
171,China Longyuan Power,Utilities,Diversified Utilities,Asia,China,8.2,3.1,0.3,18.3,1466,#1648,$4 B,$631 M,$22.5 B,$4 B
172,Yanzhou Coal Mining,Materials,Diversified Metals & Mining,Asia,China,4.5,9.4,0.3,19.6,1472,#910,$9.8 B,$1.4 B,$30.3 B,$3.7 B
173,Sunac China Holdings,,,Asia,China,2.0,5.0,0.5,16.1,1474,#223,$25.3 B,$3.8 B,$137.9 B,$20.7 B
174,Hengan International Group,Consumer Staples,Household/Personal Care,Asia,China,12.9,2.7,0.5,5.2,1478,#1638,$3.3 B,$566 M,$6.2 B,$10.6 B
175,Angang Steel,Materials,Iron & Steel,Asia,China,3.6,12.2,0.1,15.3,1492,#1817,$14.4 B,$241 M,$12.7 B,$2.6 B
